LNTITLE,fips,TOT_EST_2016,CVAP_EST_2016
Asian Alone,19193,2785,1195
Black or African American Alone,19193,3000,1750
Native Hawaiian or Other Pacific Islander Alone,19193,95,55
White Alone,19193,77160,60405
American Indian or Alaska Native and White,19193,725,410
Asian and White,19193,310,55
Black or African American and White,19193,910,195
American Indian or Alaska Native and Black or African American,19193,0,0
Remainder of Two or More Race Responses,19193,395,155
Hispanic or Latino,19193,15635,4965
Total,19195,7560,5920
Not Hispanic or Latino,19195,7355,5795
American Indian or Alaska Native Alone,19195,4,4
Asian Alone,19195,15,10
Black or African American Alone,19195,65,30
Native Hawaiian or Other Pacific Islander Alone,19195,4,4
White Alone,19195,7185,5695
American Indian or Alaska Native and White,19195,15,10
Asian and White,19195,40,25
Black or African American and White,19195,25,10
American Indian or Alaska Native and Black or African American,19195,4,4
Remainder of Two or More Race Responses,19195,10,4
Hispanic or Latino,19195,205,125
Total,19197,12890,9365
Not Hispanic or Latino,19197,11530,9100
American Indian or Alaska Native Alone,19197,4,4
Asian Alone,19197,75,10
Black or African American Alone,19197,65,35
Native Hawaiian or Other Pacific Islander Alone,19197,0,0
White Alone,19197,11255,8990
American Indian or Alaska Native and White,19197,20,20
Asian and White,19197,0,0
Black or African American and White,19197,115,40
American Indian or Alaska Native and Black or African American,19197,0,0
Remainder of Two or More Race Responses,19197,4,0
Hispanic or Latino,19197,1360,265
Total,20001,12950,9945
Not Hispanic or Latino,20001,12530,9670
American Indian or Alaska Native Alone,20001,30,30
Asian Alone,20001,20,4
Black or African American Alone,20001,255,215
Native Hawaiian or Other Pacific Islander Alone,20001,15,15
White Alone,20001,11780,9195
American Indian or Alaska Native and White,20001,185,145
Asian and White,20001,20,15
Black or African American and White,20001,220,55
American Indian or Alaska Native and Black or African American,20001,4,0
Remainder of Two or More Race Responses,20001,0,0
Hispanic or Latino,20001,420,270
Total,20003,7860,5875
Not Hispanic or Latino,20003,7820,5865
American Indian or Alaska Native Alone,20003,175,100
Asian Alone,20003,0,0
Black or African American Alone,20003,10,10
Native Hawaiian or Other Pacific Islander Alone,20003,0,0
White Alone,20003,7485,5650
American Indian or Alaska Native and White,20003,40,35
Asian and White,20003,0,0
Black or African American and White,20003,4,0
American Indian or Alaska Native and Black or African American,20003,0,0
Remainder of Two or More Race Responses,20003,115,75
Hispanic or Latino,20003,35,10
Total,20005,16555,12620
Not Hispanic or Latino,20005,16090,12310
American Indian or Alaska Native Alone,20005,70,40
Asian Alone,20005,35,10
Black or African American Alone,20005,650,590
Native Hawaiian or Other Pacific Islander Alone,20005,10,10
White Alone,20005,14680,11420
American Indian or Alaska Native and White,20005,150,90
Asian and White,20005,30,25
Black or African American and White,20005,415,85
American Indian or Alaska Native and Black or African American,20005,0,0
Remainder of Two or More Race Responses,20005,50,40
Hispanic or Latino,20005,465,305
Total,20007,4830,3705
Not Hispanic or Latino,20007,4680,3640
American Indian or Alaska Native Alone,20007,20,4
Asian Alone,20007,25,25
Black or African American Alone,20007,35,30
Native Hawaiian or Other Pacific Islander Alone,20007,0,0
White Alone,20007,4490,3520
American Indian or Alaska Native and White,20007,45,40
Asian and White,20007,10,10
Black or African American and White,20007,50,10
American Indian or Alaska Native and Black or African American,20007,0,0
Remainder of Two or More Race Responses,20007,0,0
Hispanic or Latino,20007,150,65
Total,20009,27215,19495
Not Hispanic or Latino,20009,23355,18370
American Indian or Alaska Native Alone,20009,60,45
Asian Alone,20009,50,50
Black or African American Alone,20009,295,265
Native Hawaiian or Other Pacific Islander Alone,20009,55,55
White Alone,20009,22410,17730
American Indian or Alaska Native and White,20009,220,175
Asian and White,20009,55,25
Black or African American and White,20009,200,30
American Indian or Alaska Native and Black or African American,20009,0,0
Remainder of Two or More Race Responses,20009,10,4
Hispanic or Latino,20009,3855,1125
Total,20011,14750,10965
Not Hispanic or Latino,20011,14400,10815
American Indian or Alaska Native Alone,20011,135,110
Asian Alone,20011,120,55
Black or African American Alone,20011,505,370
Native Hawaiian or Other Pacific Islander Alone,20011,0,0
White Alone,20011,13390,10155
American Indian or Alaska Native and White,20011,125,95
Asian and White,20011,30,10
Black or African American and White,20011,90,20
American Indian or Alaska Native and Black or African American,20011,4,4
Remainder of Two or More Race Responses,20011,0,0
Hispanic or Latino,20011,350,150
Total,20013,9810,7325
Not Hispanic or Latino,20013,9430,7120
American Indian or Alaska Native Alone,20013,745,530
Asian Alone,20013,65,25
Black or African American Alone,20013,120,85
Native Hawaiian or Other Pacific Islander Alone,20013,10,4
White Alone,20013,8195,6335
American Indian or Alaska Native and White,20013,200,105
Asian and White,20013,0,0
Black or African American and White,20013,90,35
American Indian or Alaska Native and Black or African American,20013,4,4
Remainder of Two or More Race Responses,20013,4,4
Hispanic or Latino,20013,380,200
Total,20015,66265,48460
Not Hispanic or Latino,20015,63345,46795
American Indian or Alaska Native Alone,20015,605,435
Asian Alone,20015,525,205
Black or African American Alone,20015,1425,995
Native Hawaiian or Other Pacific Islander Alone,20015,10,10
White Alone,20015,59565,44490
American Indian or Alaska Native and White,20015,590,400
Asian and White,20015,320,135
Black or African American and White,20015,175,50
American Indian or Alaska Native and Black or African American,20015,4,4
Remainder of Two or More Race Responses,20015,120,70
Hispanic or Latino,20015,2920,1665
Total,20017,2695,2050
Not Hispanic or Latino,20017,2585,2030
American Indian or Alaska Native Alone,20017,40,40
Asian Alone,20017,0,0
Black or African American Alone,20017,30,30
Native Hawaiian or Other Pacific Islander Alone,20017,0,0
White Alone,20017,2480,1950
American Indian or Alaska Native and White,20017,20,10
Asian and White,20017,0,0
Black or African American and White,20017,15,0
American Indian or Alaska Native and Black or African American,20017,0,0
Remainder of Two or More Race Responses,20017,0,0
Hispanic or Latino,20017,110,20
Total,20019,3470,2760
Not Hispanic or Latino,20019,3410,2710
American Indian or Alaska Native Alone,20019,215,145
Asian Alone,20019,0,0
Black or African American Alone,20019,10,4
Native Hawaiian or Other Pacific Islander Alone,20019,0,0
White Alone,20019,3005,2430
American Indian or Alaska Native and White,20019,155,115
Asian and White,20019,0,0
Black or African American and White,20019,15,4
American Indian or Alaska Native and Black or African American,20019,0,0
Remainder of Two or More Race Responses,20019,10,4
Hispanic or Latino,20019,60,50
Total,20021,20735,15645
Not Hispanic or Latino,20021,20265,15430
American Indian or Alaska Native Alone,20021,640,500
Asian Alone,20021,55,35
Black or African American Alone,20021,125,125
Native Hawaiian or Other Pacific Islander Alone,20021,4,4
White Alone,20021,18410,14195
American Indian or Alaska Native and White,20021,865,545
Asian and White,20021,20,4
Black or African American and White,20021,125,4
American Indian or Alaska Native and Black or African American,20021,0,0
Remainder of Two or More Race Responses,20021,10,4
Hispanic or Latino,20021,475,220
Total,20023,2680,2045
Not Hispanic or Latino,20023,2510,1985
American Indian or Alaska Native Alone,20023,0,0
Asian Alone,20023,40,4
Black or African American Alone,20023,0,0
Native Hawaiian or Other Pacific Islander Alone,20023,0,0
White Alone,20023,2445,1965
American Indian or Alaska Native and White,20023,20,10
Asian and White,20023,4,0
Black or African American and White,20023,4,0
American Indian or Alaska Native and Black or African American,20023,0,0
Remainder of Two or More Race Responses,20023,0,0
Hispanic or Latino,20023,170,60
Total,20025,2130,1545
Not Hispanic or Latino,20025,1880,1465
American Indian or Alaska Native Alone,20025,40,25
Asian Alone,20025,15,4
Black or African American Alone,20025,15,15
Native Hawaiian or Other Pacific Islander Alone,20025,10,4
White Alone,20025,1745,1375
American Indian or Alaska Native and White,20025,30,30
Asian and White,20025,0,0
Black or African American and White,20025,25,15
American Indian or Alaska Native and Black or African American,20025,0,0
Remainder of Two or More Race Responses,20025,0,0
Hispanic or Latino,20025,255,80
Total,20027,8345,6220
Not Hispanic or Latino,20027,8145,6145
American Indian or Alaska Native Alone,20027,20,20
Asian Alone,20027,45,4
Black or African American Alone,20027,60,20
Native Hawaiian or Other Pacific Islander Alone,20027,0,0
White Alone,20027,7905,6080
American Indian or Alaska Native and White,20027,15,15
Asian and White,20027,75,4
Black or African American and White,20027,25,0
American Indian or Alaska Native and Black or African American,20027,0,0
Remainder of Two or More Race Responses,20027,0,0
Hispanic or Latino,20027,200,75
Total,20029,9300,7135
Not Hispanic or Latino,20029,9005,6970
American Indian or Alaska Native Alone,20029,30,30
Asian Alone,20029,65,0
Black or African American Alone,20029,70,60
Native Hawaiian or Other Pacific Islander Alone,20029,0,0
White Alone,20029,8695,6805
American Indian or Alaska Native and White,20029,75,75
Asian and White,20029,70,0
Black or African American and White,20029,0,0
American Indian or Alaska Native and Black or African American,20029,0,0
Remainder of Two or More Race Responses,20029,0,0
Hispanic or Latino,20029,295,165
Total,20031,8435,6490
Not Hispanic or Latino,20031,8225,6370
American Indian or Alaska Native Alone,20031,60,50
Asian Alone,20031,55,30
Black or African American Alone,20031,80,45
Native Hawaiian or Other Pacific Islander Alone,20031,15,4
White Alone,20031,7910,6170
American Indian or Alaska Native and White,20031,75,60
Asian and White,20031,20,4
Black or African American and White,20031,0,0
American Indian or Alaska Native and Black or African American,20031,0,0
Remainder of Two or More Race Responses,20031,15,0
Hispanic or Latino,20031,210,125
Total,20033,1900,1400
Not Hispanic or Latino,20033,1780,1365
American Indian or Alaska Native Alone,20033,0,0
Asian Alone,20033,15,15
Black or African American Alone,20033,0,0
Native Hawaiian or Other Pacific Islander Alone,20033,0,0
White Alone,20033,1755,1340
American Indian or Alaska Native and White,20033,10,10
Asian and White,20033,0,0
Black or African American and White,20033,0,0
American Indian or Alaska Native and Black or African American,20033,0,0
Remainder of Two or More Race Responses,20033,0,0
Hispanic or Latino,20033,120,35
Total,20035,35975,26630
Not Hispanic or Latino,20035,32290,24940
American Indian or Alaska Native Alone,20035,700,460
Asian Alone,20035,580,280
Black or African American Alone,20035,945,740
Native Hawaiian or Other Pacific Islander Alone,20035,4,4
White Alone,20035,29020,22875
American Indian or Alaska Native and White,20035,505,390
Asian and White,20035,85,35
Black or African American and White,20035,360,100
American Indian or Alaska Native and Black or African American,20035,10,10
Remainder of Two or More Race Responses,20035,80,45
Hispanic or Latino,20035,3690,1690
Total,20037,39280,29685
Not Hispanic or Latino,20037,37275,28835
American Indian or Alaska Native Alone,20037,190,180
Asian Alone,20037,670,235
Black or African American Alone,20037,885,640
Native Hawaiian or Other Pacific Islander Alone,20037,0,0
White Alone,20037,34455,27185
American Indian or Alaska Native and White,20037,545,390
Asian and White,20037,70,45
Black or African American and White,20037,350,120
American Indian or Alaska Native and Black or African American,20037,0,0
Remainder of Two or More Race Responses,20037,105,40
Hispanic or Latino,20037,2005,850
Total,20039,2885,2315
Not Hispanic or Latino,20039,2805,2275
American Indian or Alaska Native Alone,20039,20,20
Asian Alone,20039,0,0
Black or African American Alone,20039,10,10
Native Hawaiian or Other Pacific Islander Alone,20039,0,0
White Alone,20039,2750,2235
American Indian or Alaska Native and White,20039,4,4
Asian and White,20039,0,0
Black or African American and White,20039,25,10
American Indian or Alaska Native and Black or African American,20039,0,0
Remainder of Two or More Race Responses,20039,0,0
Hispanic or Latino,20039,80,40
Total,20041,19385,14565
Not Hispanic or Latino,20041,18525,14105
American Indian or Alaska Native Alone,20041,170,160
Asian Alone,20041,60,20
Black or African American Alone,20041,170,135
Native Hawaiian or Other Pacific Islander Alone,20041,0,0
White Alone,20041,17755,13645
American Indian or Alaska Native and White,20041,75,70
Asian and White,20041,90,45
Black or African American and White,20041,205,30
American Indian or Alaska Native and Black or African American,20041,0,0
Remainder of Two or More Race Responses,20041,0,0
Hispanic or Latino,20041,860,460
Total,20043,7795,6155
Not Hispanic or Latino,20043,7585,6020
American Indian or Alaska Native Alone,20043,75,60
Asian Alone,20043,20,10
Black or African American Alone,20043,295,270
Native Hawaiian or Other Pacific Islander Alone,20043,0,0
White Alone,20043,7040,5580
American Indian or Alaska Native and White,20043,100,60
Asian and White,20043,30,25
Black or African American and White,20043,35,15
American Indian or Alaska Native and Black or African American,20043,0,0
Remainder of Two or More Race Responses,20043,0,0
Hispanic or Latino,20043,205,135
Total,20045,116350,89390
Not Hispanic or Latino,20045,109640,85720
American Indian or Alaska Native Alone,20045,2460,1935
Asian Alone,20045,5400,1955
Black or African American Alone,20045,4365,3205
Native Hawaiian or Other Pacific Islander Alone,20045,35,35
White Alone,20045,92905,75835
American Indian or Alaska Native and White,20045,1280,1030
Asian and White,20045,875,520
Black or African American and White,20045,1630,800
American Indian or Alaska Native and Black or African American,20045,420,265
Remainder of Two or More Race Responses,20045,265,135
Hispanic or Latino,20045,6715,3670
Total,20047,2975,2105
Not Hispanic or Latino,20047,2385,1895
American Indian or Alaska Native Alone,20047,0,0
Asian Alone,20047,10,4
Black or African American Alone,20047,40,40
Native Hawaiian or Other Pacific Islander Alone,20047,0,0
White Alone,20047,2315,1840
American Indian or Alaska Native and White,20047,4,4
Asian and White,20047,4,0
Black or African American and White,20047,4,0
American Indian or Alaska Native and Black or African American,20047,10,10
Remainder of Two or More Race Responses,20047,0,0
Hispanic or Latino,20047,590,210
Total,20049,2635,2095
Not Hispanic or Latino,20049,2530,2035
American Indian or Alaska Native Alone,20049,50,45
Asian Alone,20049,15,4
Black or African American Alone,20049,4,4
Native Hawaiian or Other Pacific Islander Alone,20049,0,0
White Alone,20049,2405,1955
American Indian or Alaska Native and White,20049,40,20
Asian and White,20049,4,4
Black or African American and White,20049,4,4
American Indian or Alaska Native and Black or African American,20049,0,0
Remainder of Two or More Race Responses,20049,10,10
Hispanic or Latino,20049,105,60
Total,20051,29030,22270
Not Hispanic or Latino,20051,27440,21425
American Indian or Alaska Native Alone,20051,40,40
Asian Alone,20051,405,85
Black or African American Alone,20051,310,185
Native Hawaiian or Other Pacific Islander Alone,20051,0,0
White Alone,20051,26270,20865
American Indian or Alaska Native and White,20051,145,120
Asian and White,20051,70,4
Black or African American and White,20051,125,60
American Indian or Alaska Native and Black or African American,20051,0,0
Remainder of Two or More Race Responses,20051,70,70
Hispanic or Latino,20051,1590,845
Total,20053,6375,5095
Not Hispanic or Latino,20053,5990,4855
American Indian or Alaska Native Alone,20053,40,30
Asian Alone,20053,25,20
Black or African American Alone,20053,285,250
Native Hawaiian or Other Pacific Islander Alone,20053,0,0
White Alone,20053,5510,4515
American Indian or Alaska Native and White,20053,35,20
Asian and White,20053,15,4
Black or African American and White,20053,70,10
American Indian or Alaska Native and Black or African American,20053,4,4
Remainder of Two or More Race Responses,20053,0,0
Hispanic or Latino,20053,385,240
Total,20055,36985,20600
Not Hispanic or Latino,20055,19075,13785
American Indian or Alaska Native Alone,20055,165,110
Asian Alone,20055,1525,480
Black or African American Alone,20055,745,375
Native Hawaiian or Other Pacific Islander Alone,20055,0,0
White Alone,20055,16075,12505
American Indian or Alaska Native and White,20055,125,110
Asian and White,20055,85,40
Black or African American and White,20055,265,80
American Indian or Alaska Native and Black or African American,20055,50,50
Remainder of Two or More Race Responses,20055,40,35
Hispanic or Latino,20055,17910,6820
Total,20057,34490,17330
Not Hispanic or Latino,20057,16180,12430
American Indian or Alaska Native Alone,20057,100,55
Asian Alone,20057,460,230
Black or African American Alone,20057,795,515
Native Hawaiian or Other Pacific Islander Alone,20057,4,0
White Alone,20057,14350,11460
American Indian or Alaska Native and White,20057,160,65
Asian and White,20057,35,35
Black or African American and White,20057,200,60
American Indian or Alaska Native and Black or African American,20057,0,0
Remainder of Two or More Race Responses,20057,70,10
Hispanic or Latino,20057,18315,4900
Total,20059,25665,19100
Not Hispanic or Latino,20059,24650,18545
American Indian or Alaska Native Alone,20059,100,90
Asian Alone,20059,20,10
Black or African American Alone,20059,415,275
Native Hawaiian or Other Pacific Islander Alone,20059,0,0
White Alone,20059,23495,17805
American Indian or Alaska Native and White,20059,340,230
Asian and White,20059,30,0
Black or African American and White,20059,230,120
American Indian or Alaska Native and Black or African American,20059,4,4
Remainder of Two or More Race Responses,20059,10,10
Hispanic or Latino,20059,1015,550
Total,20061,36820,24190
Not Hispanic or Latino,20061,31290,21515
American Indian or Alaska Native Alone,20061,330,220
Asian Alone,20061,1120,710
Black or African American Alone,20061,6005,4295
Native Hawaiian or Other Pacific Islander Alone,20061,265,100
White Alone,20061,21505,15370
American Indian or Alaska Native and White,20061,210,115
Asian and White,20061,405,130
Black or African American and White,20061,1165,430
American Indian or Alaska Native and Black or African American,20061,0,0
Remainder of Two or More Race Responses,20061,285,140
Hispanic or Latino,20061,5525,2675
Total,20063,2680,2045
Not Hispanic or Latino,20063,2590,2025
American Indian or Alaska Native Alone,20063,10,10
Asian Alone,20063,20,0
Black or African American Alone,20063,25,20
Native Hawaiian or Other Pacific Islander Alone,20063,0,0
White Alone,20063,2495,1965
American Indian or Alaska Native and White,20063,20,15
Asian and White,20063,4,0
Black or African American and White,20063,15,10
American Indian or Alaska Native and Black or African American,20063,0,0
Remainder of Two or More Race Responses,20063,0,0
Hispanic or Latino,20063,90,25
Total,20065,2575,2035
Not Hispanic or Latino,20065,2495,1995
American Indian or Alaska Native Alone,20065,4,4
Asian Alone,20065,40,4
Black or African American Alone,20065,80,80
Native Hawaiian or Other Pacific Islander Alone,20065,0,0
White Alone,20065,2300,1855
American Indian or Alaska Native and White,20065,4,4
Asian and White,20065,15,10
Black or African American and White,20065,35,15
American Indian or Alaska Native and Black or African American,20065,20,20
Remainder of Two or More Race Responses,20065,0,0
Hispanic or Latino,20065,80,40
Total,20067,7750,4215
Not Hispanic or Latino,20067,4170,3030
American Indian or Alaska Native Alone,20067,25,10
Asian Alone,20067,0,0
Black or African American Alone,20067,0,0
Native Hawaiian or Other Pacific Islander Alone,20067,0,0
White Alone,20067,4120,3010
American Indian or Alaska Native and White,20067,30,4
Asian and White,20067,0,0
Black or African American and White,20067,0,0
American Indian or Alaska Native and Black or African American,20067,0,0
Remainder of Two or More Race Responses,20067,0,0
Hispanic or Latino,20067,3580,1185
Total,20069,6035,3925
Not Hispanic or Latino,20069,5150,3650
American Indian or Alaska Native Alone,20069,0,0
Asian Alone,20069,0,0
Black or African American Alone,20069,0,0
Native Hawaiian or Other Pacific Islander Alone,20069,15,15
White Alone,20069,5110,3615
American Indian or Alaska Native and White,20069,10,10
Asian and White,20069,10,10
Black or African American and White,20069,0,0
American Indian or Alaska Native and Black or African American,20069,0,0
Remainder of Two or More Race Responses,20069,0,0
Hispanic or Latino,20069,890,275
Total,20071,1235,920
Not Hispanic or Latino,20071,980,830
American Indian or Alaska Native Alone,20071,4,0
Asian Alone,20071,4,4
Black or African American Alone,20071,10,10
Native Hawaiian or Other Pacific Islander Alone,20071,0,0
White Alone,20071,940,810
American Indian or Alaska Native and White,20071,4,4
Asian and White,20071,10,0
Black or African American and White,20071,0,0
American Indian or Alaska Native and Black or African American,20071,4,4
Remainder of Two or More Race Responses,20071,4,4
Hispanic or Latino,20071,255,90
Total,20073,6305,4915
Not Hispanic or Latino,20073,6065,4810
American Indian or Alaska Native Alone,20073,15,10
Asian Alone,20073,0,0
Black or African American Alone,20073,10,10
Native Hawaiian or Other Pacific Islander Alone,20073,0,0
White Alone,20073,5825,4660
American Indian or Alaska Native and White,20073,190,120
Asian and White,20073,0,0
Black or African American and White,20073,25,15
American Indian or Alaska Native and Black or African American,20073,0,0
Remainder of Two or More Race Responses,20073,4,4
Hispanic or Latino,20073,240,105
Total,20075,2565,1410
Not Hispanic or Latino,20075,1645,1260
American Indian or Alaska Native Alone,20075,4,4
Asian Alone,20075,0,0
Black or African American Alone,20075,4,4
Native Hawaiian or Other Pacific Islander Alone,20075,0,0
White Alone,20075,1615,1235
American Indian or Alaska Native and White,20075,15,15
Asian and White,20075,0,0
Black or African American and White,20075,4,0
American Indian or Alaska Native and Black or African American,20075,4,4
Remainder of Two or More Race Responses,20075,0,0
Hispanic or Latino,20075,920,150
Total,20077,5800,4330
Not Hispanic or Latino,20077,5430,4195
American Indian or Alaska Native Alone,20077,130,85
Asian Alone,20077,0,0
Black or African American Alone,20077,4,4
Native Hawaiian or Other Pacific Islander Alone,20077,0,0
White Alone,20077,5245,4080
American Indian or Alaska Native and White,20077,15,10
Asian and White,20077,4,0
Black or African American and White,20077,25,10
American Indian or Alaska Native and Black or African American,20077,4,4
Remainder of Two or More Race Responses,20077,4,0
Hispanic or Latino,20077,365,140
Total,20079,34815,25185
Not Hispanic or Latino,20079,30850,23460
American Indian or Alaska Native Alone,20079,150,140
Asian Alone,20079,240,55
Black or African American Alone,20079,555,370
Native Hawaiian or Other Pacific Islander Alone,20079,40,40
White Alone,20079,29130,22520
American Indian or Alaska Native and White,20079,290,185
Asian and White,20079,165,55
Black or African American and White,20079,225,70
American Indian or Alaska Native and Black or African American,20079,35,0
Remainder of Two or More Race Responses,20079,20,20
Hispanic or Latino,20079,3965,1725
Total,20081,4085,2380
Not Hispanic or Latino,20081,2905,1925
American Indian or Alaska Native Alone,20081,80,55
Asian Alone,20081,10,10
Black or African American Alone,20081,0,0
Native Hawaiian or Other Pacific Islander Alone,20081,4,4
White Alone,20081,2800,1850
American Indian or Alaska Native and White,20081,15,10
Asian and White,20081,0,0
Black or African American and White,20081,0,0
American Indian or Alaska Native and Black or African American,20081,0,0
Remainder of Two or More Race Responses,20081,0,0
Hispanic or Latino,20081,1180,450
Total,20083,1920,1450
Not Hispanic or Latino,20083,1785,1410
American Indian or Alaska Native Alone,20083,4,4
Asian Alone,20083,30,0
Black or African American Alone,20083,0,0
Native Hawaiian or Other Pacific Islander Alone,20083,0,0
White Alone,20083,1725,1395
American Indian or Alaska Native and White,20083,4,4
Asian and White,20083,4,4
Black or African American and White,20083,10,4
American Indian or Alaska Native and Black or African American,20083,0,0
Remainder of Two or More Race Responses,20083,0,0
Hispanic or Latino,20083,135,40
Total,20085,13365,9925
Not Hispanic or Latino,20085,12800,9615
American Indian or Alaska Native Alone,20085,800,545
Asian Alone,20085,80,45
Black or African American Alone,20085,75,60
Native Hawaiian or Other Pacific Islander Alone,20085,45,35
White Alone,20085,11310,8665
American Indian or Alaska Native and White,20085,380,235
Asian and White,20085,10,4
Black or African American and White,20085,90,25
American Indian or Alaska Native and Black or African American,20085,4,0
Remainder of Two or More Race Responses,20085,4,4
Hispanic or Latino,20085,565,310
Total,20087,18880,14380
Not Hispanic or Latino,20087,18430,14140
American Indian or Alaska Native Alone,20087,120,105
Asian Alone,20087,0,0
Black or African American Alone,20087,110,110
Native Hawaiian or Other Pacific Islander Alone,20087,0,0
White Alone,20087,17780,13695
American Indian or Alaska Native and White,20087,325,210
Asian and White,20087,20,15
Black or African American and White,20087,65,0
American Indian or Alaska Native and Black or African American,20087,0,0
Remainder of Two or More Race Responses,20087,10,4
Hispanic or Latino,20087,450,240
Total,20089,3005,2395
Not Hispanic or Latino,20089,2930,2365
American Indian or Alaska Native Alone,20089,4,4
Asian Alone,20089,10,0
Black or African American Alone,20089,4,4
Native Hawaiian or Other Pacific Islander Alone,20089,4,4
White Alone,20089,2870,2350
American Indian or Alaska Native and White,20089,25,4
Asian and White,20089,0,0
Black or African American and White,20089,15,4
American Indian or Alaska Native and Black or African American,20089,0,0
Remainder of Two or More Race Responses,20089,4,4
Hispanic or Latino,20089,70,30
Total,20091,572430,404190
Not Hispanic or Latino,20091,530480,388345
American Indian or Alaska Native Alone,20091,1295,950
Asian Alone,20091,26220,11720
Black or African American Alone,20091,25290,16370
Native Hawaiian or Other Pacific Islander Alone,20091,170,120
White Alone,20091,463495,353130
American Indian or Alaska Native and White,20091,3005,2155
Asian and White,20091,3725,1325
Black or African American and White,20091,5580,1710
American Indian or Alaska Native and Black or African American,20091,115,110
Remainder of Two or More Race Responses,20091,1590,750
Hispanic or Latino,20091,41945,15840
Total,20093,3945,2485
Not Hispanic or Latino,20093,2740,2015
American Indian or Alaska Native Alone,20093,0,0
Asian Alone,20093,15,15
Black or African American Alone,20093,30,30
Native Hawaiian or Other Pacific Islander Alone,20093,0,0
White Alone,20093,2600,1935
American Indian or Alaska Native and White,20093,20,10
Asian and White,20093,0,0
Black or African American and White,20093,25,4
American Indian or Alaska Native and Black or African American,20093,20,20
Remainder of Two or More Race Responses,20093,25,0
Hispanic or Latino,20093,1205,465
Total,20095,7695,5925
Not Hispanic or Latino,20095,7460,5815
American Indian or Alaska Native Alone,20095,45,45
Asian Alone,20095,4,4
Black or African American Alone,20095,35,15
Native Hawaiian or Other Pacific Islander Alone,20095,0,0
White Alone,20095,7255,5680
American Indian or Alaska Native and White,20095,70,35
Asian and White,20095,20,20
Black or African American and White,20095,20,10
American Indian or Alaska Native and Black or African American,20095,0,0
Remainder of Two or More Race Responses,20095,15,4
Hispanic or Latino,20095,235,110
Total,20097,2520,1885
Not Hispanic or Latino,20097,2370,1825
American Indian or Alaska Native Alone,20097,4,4
Asian Alone,20097,35,4
Black or African American Alone,20097,25,20
Native Hawaiian or Other Pacific Islander Alone,20097,0,0
White Alone,20097,2265,1780
American Indian or Alaska Native and White,20097,30,15
Asian and White,20097,4,0
Black or African American and White,20097,0,0
American Indian or Alaska Native and Black or African American,20097,0,0
Remainder of Two or More Race Responses,20097,4,4
Hispanic or Latino,20097,150,60
Total,20099,20835,15780
Not Hispanic or Latino,20099,19930,15300
American Indian or Alaska Native Alone,20099,185,145
Asian Alone,20099,60,45
Black or African American Alone,20099,685,535
Native Hawaiian or Other Pacific Islander Alone,20099,0,0
White Alone,20099,17790,13900
American Indian or Alaska Native and White,20099,585,430
Asian and White,20099,90,25
Black or African American and White,20099,425,175
American Indian or Alaska Native and Black or African American,20099,10,10
Remainder of Two or More Race Responses,20099,100,30
Hispanic or Latino,20099,900,480
Total,20101,1685,1280
Not Hispanic or Latino,20101,1600,1235
American Indian or Alaska Native Alone,20101,4,4
Asian Alone,20101,0,0
Black or African American Alone,20101,10,10
Native Hawaiian or Other Pacific Islander Alone,20101,0,0
White Alone,20101,1580,1215
American Indian or Alaska Native and White,20101,0,0
Asian and White,20101,0,0
Black or African American and White,20101,4,4
American Indian or Alaska Native and Black or African American,20101,4,0
Remainder of Two or More Race Responses,20101,0,0
Hispanic or Latino,20101,90,50
Total,20103,78785,58520
Not Hispanic or Latino,20103,73505,55305
American Indian or Alaska Native Alone,20103,385,290
Asian Alone,20103,1220,540
Black or African American Alone,20103,6765,5460
Native Hawaiian or Other Pacific Islander Alone,20103,120,115
White Alone,20103,62565,47665
American Indian or Alaska Native and White,20103,650,535
Asian and White,20103,340,115
Black or African American and White,20103,985,280
American Indian or Alaska Native and Black or African American,20103,195,140
Remainder of Two or More Race Responses,20103,275,155
Hispanic or Latino,20103,5280,3215
Total,20105,3135,2375
Not Hispanic or Latino,20105,3050,2335
American Indian or Alaska Native Alone,20105,20,4
Asian Alone,20105,4,0
Black or African American Alone,20105,30,25
Native Hawaiian or Other Pacific Islander Alone,20105,0,0
White Alone,20105,2975,2285
American Indian or Alaska Native and White,20105,15,15
Asian and White,20105,4,4
Black or African American and White,20105,4,4
American Indian or Alaska Native and Black or African American,20105,0,0
Remainder of Two or More Race Responses,20105,0,0
Hispanic or Latino,20105,85,40
Total,20107,9525,7265
Not Hispanic or Latino,20107,9295,7115
American Indian or Alaska Native Alone,20107,80,55
Asian Alone,20107,35,15
Black or African American Alone,20107,60,35
Native Hawaiian or Other Pacific Islander Alone,20107,0,0
White Alone,20107,8965,6920
American Indian or Alaska Native and White,20107,100,90
Asian and White,20107,25,0
Black or African American and White,20107,30,4
American Indian or Alaska Native and Black or African American,20107,0,0
Remainder of Two or More Race Responses,20107,4,4
Hispanic or Latino,20107,230,150
Total,20109,2800,2120
Not Hispanic or Latino,20109,2660,2050
American Indian or Alaska Native Alone,20109,10,10
Asian Alone,20109,4,0
Black or African American Alone,20109,0,0
Native Hawaiian or Other Pacific Islander Alone,20109,0,0
White Alone,20109,2550,1990
American Indian or Alaska Native and White,20109,55,35
Asian and White,20109,0,0
Black or African American and White,20109,40,10
American Indian or Alaska Native and Black or African American,20109,0,0
Remainder of Two or More Race Responses,20109,0,0
