lntitle,fips,tot_est_2020,cvap_est_2020
Hispanic or Latino,17033,620,410
Total,17035,10835,8295
Not Hispanic or Latino,17035,10720,8245
American Indian or Alaska Native Alone,17035,4,4
Asian Alone,17035,45,4
Black or African American Alone,17035,10,10
Native Hawaiian or Other Pacific Islander Alone,17035,4,0
White Alone,17035,10480,8170
American Indian or Alaska Native and White,17035,30,10
Asian and White,17035,4,4
Black or African American and White,17035,105,20
American Indian or Alaska Native and Black or African American,17035,0,0
Remainder of Two or More Race Responses,17035,35,25
Hispanic or Latino,17035,115,50
Total,17037,104365,77805
Not Hispanic or Latino,17037,92730,72425
American Indian or Alaska Native Alone,17037,55,50
Asian Alone,17037,2365,1205
Black or African American Alone,17037,8095,5735
Native Hawaiian or Other Pacific Islander Alone,17037,0,0
White Alone,17037,80255,64315
American Indian or Alaska Native and White,17037,360,260
Asian and White,17037,780,365
Black or African American and White,17037,565,365
American Indian or Alaska Native and Black or African American,17037,0,0
Remainder of Two or More Race Responses,17037,255,130
Hispanic or Latino,17037,11635,5385
Total,17039,15930,12330
Not Hispanic or Latino,17039,15495,12145
American Indian or Alaska Native Alone,17039,4,4
Asian Alone,17039,4,4
Black or African American Alone,17039,85,70
Native Hawaiian or Other Pacific Islander Alone,17039,10,10
White Alone,17039,15075,11875
American Indian or Alaska Native and White,17039,300,180
Asian and White,17039,4,0
Black or African American and White,17039,10,0
American Indian or Alaska Native and Black or African American,17039,0,0
Remainder of Two or More Race Responses,17039,0,0
Hispanic or Latino,17039,435,185
Total,17041,19625,14340
Not Hispanic or Latino,17041,18200,13660
American Indian or Alaska Native Alone,17041,100,35
Asian Alone,17041,130,75
Black or African American Alone,17041,135,80
Native Hawaiian or Other Pacific Islander Alone,17041,15,4
White Alone,17041,17710,13410
American Indian or Alaska Native and White,17041,0,0
Asian and White,17041,10,0
Black or African American and White,17041,60,30
American Indian or Alaska Native and Black or African American,17041,0,0
Remainder of Two or More Race Responses,17041,40,25
Hispanic or Latino,17041,1425,680
Total,17043,929060,650010
Not Hispanic or Latino,17043,796465,588725
American Indian or Alaska Native Alone,17043,515,395
Asian Alone,17043,111500,62085
Black or African American Alone,17043,43920,31270
Native Hawaiian or Other Pacific Islander Alone,17043,220,160
White Alone,17043,622505,486755
American Indian or Alaska Native and White,17043,1935,1460
Asian and White,17043,7930,3035
Black or African American and White,17043,5435,2140
American Indian or Alaska Native and Black or African American,17043,210,140
Remainder of Two or More Race Responses,17043,2290,1285
Hispanic or Latino,17043,132595,61280
Total,17045,17405,13850
Not Hispanic or Latino,17045,17195,13670
American Indian or Alaska Native Alone,17045,10,10
Asian Alone,17045,30,30
Black or African American Alone,17045,30,30
Native Hawaiian or Other Pacific Islander Alone,17045,0,0
White Alone,17045,17085,13575
American Indian or Alaska Native and White,17045,0,0
Asian and White,17045,10,4
Black or African American and White,17045,25,20
American Indian or Alaska Native and Black or African American,17045,0,0
Remainder of Two or More Race Responses,17045,4,0
Hispanic or Latino,17045,210,180
Total,17047,6455,4950
Not Hispanic or Latino,17047,6365,4915
American Indian or Alaska Native Alone,17047,4,4
Asian Alone,17047,20,4
Black or African American Alone,17047,50,15
Native Hawaiian or Other Pacific Islander Alone,17047,0,0
White Alone,17047,6230,4860
American Indian or Alaska Native and White,17047,0,0
Asian and White,17047,20,10
Black or African American and White,17047,45,15
American Indian or Alaska Native and Black or African American,17047,0,0
Remainder of Two or More Race Responses,17047,0,0
Hispanic or Latino,17047,90,35
Total,17049,34135,25700
Not Hispanic or Latino,17049,33420,25420
American Indian or Alaska Native Alone,17049,30,20
Asian Alone,17049,180,30
Black or African American Alone,17049,170,105
Native Hawaiian or Other Pacific Islander Alone,17049,0,0
White Alone,17049,32720,25060
American Indian or Alaska Native and White,17049,80,60
Asian and White,17049,80,70
Black or African American and White,17049,105,25
American Indian or Alaska Native and Black or African American,17049,4,4
Remainder of Two or More Race Responses,17049,45,45
Hispanic or Latino,17049,720,280
Total,17051,21565,17025
Not Hispanic or Latino,17051,21160,16810
American Indian or Alaska Native Alone,17051,70,70
Asian Alone,17051,115,75
Black or African American Alone,17051,1005,1005
Native Hawaiian or Other Pacific Islander Alone,17051,30,15
White Alone,17051,19870,15575
American Indian or Alaska Native and White,17051,50,50
Asian and White,17051,4,4
Black or African American and White,17051,20,20
American Indian or Alaska Native and Black or African American,17051,0,0
Remainder of Two or More Race Responses,17051,0,0
Hispanic or Latino,17051,405,215
Total,17053,13270,10205
Not Hispanic or Latino,17053,12825,9980
American Indian or Alaska Native Alone,17053,70,70
Asian Alone,17053,85,70
Black or African American Alone,17053,150,110
Native Hawaiian or Other Pacific Islander Alone,17053,4,4
White Alone,17053,12445,9700
American Indian or Alaska Native and White,17053,15,15
Asian and White,17053,15,10
Black or African American and White,17053,45,4
American Indian or Alaska Native and Black or African American,17053,0,0
Remainder of Two or More Race Responses,17053,0,0
Hispanic or Latino,17053,445,225
Total,17055,38925,30185
Not Hispanic or Latino,17055,38270,29775
American Indian or Alaska Native Alone,17055,105,85
Asian Alone,17055,165,95
Black or African American Alone,17055,285,175
Native Hawaiian or Other Pacific Islander Alone,17055,25,25
White Alone,17055,37310,29210
American Indian or Alaska Native and White,17055,190,130
Asian and White,17055,60,30
Black or African American and White,17055,120,20
American Indian or Alaska Native and Black or African American,17055,4,0
Remainder of Two or More Race Responses,17055,4,4
Hispanic or Latino,17055,655,405
Total,17057,35090,27825
Not Hispanic or Latino,17057,34030,27155
American Indian or Alaska Native Alone,17057,100,100
Asian Alone,17057,30,20
Black or African American Alone,17057,1325,1200
Native Hawaiian or Other Pacific Islander Alone,17057,10,10
White Alone,17057,32210,25595
American Indian or Alaska Native and White,17057,80,70
Asian and White,17057,135,50
Black or African American and White,17057,125,95
American Indian or Alaska Native and Black or African American,17057,0,0
Remainder of Two or More Race Responses,17057,20,20
Hispanic or Latino,17057,1060,665
Total,17059,5065,4020
Not Hispanic or Latino,17059,5000,3965
American Indian or Alaska Native Alone,17059,25,10
Asian Alone,17059,4,0
Black or African American Alone,17059,25,25
Native Hawaiian or Other Pacific Islander Alone,17059,0,0
White Alone,17059,4850,3885
American Indian or Alaska Native and White,17059,15,4
Asian and White,17059,40,35
Black or African American and White,17059,15,0
American Indian or Alaska Native and Black or African American,17059,0,0
Remainder of Two or More Race Responses,17059,25,0
Hispanic or Latino,17059,65,55
Total,17061,13130,10360
Not Hispanic or Latino,17061,12975,10235
American Indian or Alaska Native Alone,17061,0,0
Asian Alone,17061,25,15
Black or African American Alone,17061,185,180
Native Hawaiian or Other Pacific Islander Alone,17061,4,0
White Alone,17061,12645,9940
American Indian or Alaska Native and White,17061,75,75
Asian and White,17061,10,10
Black or African American and White,17061,20,4
American Indian or Alaska Native and Black or African American,17061,10,10
Remainder of Two or More Race Responses,17061,4,4
Hispanic or Latino,17061,160,125
Total,17063,50665,36995
Not Hispanic or Latino,17063,45645,34270
American Indian or Alaska Native Alone,17063,20,20
Asian Alone,17063,405,170
Black or African American Alone,17063,590,450
Native Hawaiian or Other Pacific Islander Alone,17063,20,20
White Alone,17063,43870,33245
American Indian or Alaska Native and White,17063,165,145
Asian and White,17063,165,40
Black or African American and White,17063,370,145
American Indian or Alaska Native and Black or African American,17063,0,0
Remainder of Two or More Race Responses,17063,40,40
Hispanic or Latino,17063,5020,2725
Total,17065,8175,6350
Not Hispanic or Latino,17065,8115,6315
American Indian or Alaska Native Alone,17065,0,0
Asian Alone,17065,10,4
Black or African American Alone,17065,35,35
Native Hawaiian or Other Pacific Islander Alone,17065,0,0
White Alone,17065,8070,6275
American Indian or Alaska Native and White,17065,0,0
Asian and White,17065,0,0
Black or African American and White,17065,0,0
American Indian or Alaska Native and Black or African American,17065,0,0
Remainder of Two or More Race Responses,17065,0,0
Hispanic or Latino,17065,60,35
Total,17067,17985,14120
Not Hispanic or Latino,17067,17715,13960
American Indian or Alaska Native Alone,17067,4,4
Asian Alone,17067,65,30
Black or African American Alone,17067,110,100
Native Hawaiian or Other Pacific Islander Alone,17067,0,0
White Alone,17067,17295,13740
American Indian or Alaska Native and White,17067,100,70
Asian and White,17067,35,10
Black or African American and White,17067,50,0
American Indian or Alaska Native and Black or African American,17067,0,0
Remainder of Two or More Race Responses,17067,60,4
Hispanic or Latino,17067,270,165
Total,17069,3940,3260
Not Hispanic or Latino,17069,3900,3245
American Indian or Alaska Native Alone,17069,4,4
Asian Alone,17069,4,4
Black or African American Alone,17069,105,105
Native Hawaiian or Other Pacific Islander Alone,17069,0,0
White Alone,17069,3725,3120
American Indian or Alaska Native and White,17069,4,4
Asian and White,17069,45,0
Black or African American and White,17069,10,4
American Indian or Alaska Native and Black or African American,17069,0,0
Remainder of Two or More Race Responses,17069,0,0
Hispanic or Latino,17069,35,15
Total,17071,6810,5520
Not Hispanic or Latino,17071,6685,5450
American Indian or Alaska Native Alone,17071,0,0
Asian Alone,17071,40,15
Black or African American Alone,17071,10,10
Native Hawaiian or Other Pacific Islander Alone,17071,0,0
White Alone,17071,6535,5360
American Indian or Alaska Native and White,17071,65,55
Asian and White,17071,0,0
Black or African American and White,17071,40,10
American Indian or Alaska Native and Black or African American,17071,0,0
Remainder of Two or More Race Responses,17071,0,0
Hispanic or Latino,17071,125,70
Total,17073,49265,37700
Not Hispanic or Latino,17073,46460,36360
American Indian or Alaska Native Alone,17073,50,50
Asian Alone,17073,250,140
Black or African American Alone,17073,940,605
Native Hawaiian or Other Pacific Islander Alone,17073,0,0
White Alone,17073,44650,35260
American Indian or Alaska Native and White,17073,170,135
Asian and White,17073,85,40
Black or African American and White,17073,280,105
American Indian or Alaska Native and Black or African American,17073,0,0
Remainder of Two or More Race Responses,17073,35,25
Hispanic or Latino,17073,2810,1340
Total,17075,27810,21225
Not Hispanic or Latino,17075,25870,20475
American Indian or Alaska Native Alone,17075,70,45
Asian Alone,17075,135,50
Black or African American Alone,17075,225,160
Native Hawaiian or Other Pacific Islander Alone,17075,0,0
White Alone,17075,25035,20010
American Indian or Alaska Native and White,17075,80,65
Asian and White,17075,35,15
Black or African American and White,17075,175,30
American Indian or Alaska Native and Black or African American,17075,0,0
Remainder of Two or More Race Responses,17075,110,90
Hispanic or Latino,17075,1940,755
Total,17077,57975,45300
Not Hispanic or Latino,17077,55410,43935
American Indian or Alaska Native Alone,17077,145,85
Asian Alone,17077,1995,775
Black or African American Alone,17077,8705,6485
Native Hawaiian or Other Pacific Islander Alone,17077,25,25
White Alone,17077,43065,35730
American Indian or Alaska Native and White,17077,285,220
Asian and White,17077,470,305
Black or African American and White,17077,580,200
American Indian or Alaska Native and Black or African American,17077,70,70
Remainder of Two or More Race Responses,17077,70,40
Hispanic or Latino,17077,2565,1365
Total,17079,9595,7315
Not Hispanic or Latino,17079,9560,7285
American Indian or Alaska Native Alone,17079,4,4
Asian Alone,17079,10,4
Black or African American Alone,17079,50,30
Native Hawaiian or Other Pacific Islander Alone,17079,0,0
White Alone,17079,9305,7145
American Indian or Alaska Native and White,17079,190,105
Asian and White,17079,0,0
Black or African American and White,17079,0,0
American Indian or Alaska Native and Black or African American,17079,0,0
Remainder of Two or More Race Responses,17079,4,4
Hispanic or Latino,17079,35,30
Total,17081,37985,29255
Not Hispanic or Latino,17081,36970,28630
American Indian or Alaska Native Alone,17081,55,45
Asian Alone,17081,440,240
Black or African American Alone,17081,3170,2420
Native Hawaiian or Other Pacific Islander Alone,17081,4,4
White Alone,17081,32515,25645
American Indian or Alaska Native and White,17081,145,115
Asian and White,17081,85,30
Black or African American and White,17081,485,75
American Indian or Alaska Native and Black or African American,17081,45,35
Remainder of Two or More Race Responses,17081,25,20
Hispanic or Latino,17081,1015,625
Total,17083,21935,17240
Not Hispanic or Latino,17083,21630,17050
American Indian or Alaska Native Alone,17083,25,25
Asian Alone,17083,65,60
Black or African American Alone,17083,100,45
Native Hawaiian or Other Pacific Islander Alone,17083,0,0
White Alone,17083,20980,16655
American Indian or Alaska Native and White,17083,75,50
Asian and White,17083,145,145
Black or African American and White,17083,215,60
American Indian or Alaska Native and Black or African American,17083,10,10
Remainder of Two or More Race Responses,17083,15,0
Hispanic or Latino,17083,310,190
Total,17085,21590,17210
Not Hispanic or Latino,17085,20935,17030
American Indian or Alaska Native Alone,17085,75,60
Asian Alone,17085,130,70
Black or African American Alone,17085,125,110
Native Hawaiian or Other Pacific Islander Alone,17085,10,10
White Alone,17085,20450,16740
American Indian or Alaska Native and White,17085,20,20
Asian and White,17085,10,4
Black or African American and White,17085,105,20
American Indian or Alaska Native and Black or African American,17085,0,0
Remainder of Two or More Race Responses,17085,10,4
Hispanic or Latino,17085,655,180
Total,17087,12495,10085
Not Hispanic or Latino,17087,12100,9845
American Indian or Alaska Native Alone,17087,4,4
Asian Alone,17087,45,30
Black or African American Alone,17087,1390,1385
Native Hawaiian or Other Pacific Islander Alone,17087,0,0
White Alone,17087,10625,8410
American Indian or Alaska Native and White,17087,10,10
Asian and White,17087,15,4
Black or African American and White,17087,10,4
American Indian or Alaska Native and Black or African American,17087,0,0
Remainder of Two or More Race Responses,17087,4,4
Hispanic or Latino,17087,395,235
Total,17089,531375,345240
Not Hispanic or Latino,17089,362010,276995
American Indian or Alaska Native Alone,17089,495,465
Asian Alone,17089,21500,12820
Black or African American Alone,17089,28250,19230
Native Hawaiian or Other Pacific Islander Alone,17089,190,50
White Alone,17089,304165,240760
American Indian or Alaska Native and White,17089,1155,805
Asian and White,17089,2450,885
Black or African American and White,17089,2570,1165
American Indian or Alaska Native and Black or African American,17089,215,215
Remainder of Two or More Race Responses,17089,1015,605
Hispanic or Latino,17089,169365,68240
Total,17091,110635,82330
Not Hispanic or Latino,17091,99135,77415
American Indian or Alaska Native Alone,17091,200,155
Asian Alone,17091,1005,690
Black or African American Alone,17091,16715,11645
Native Hawaiian or Other Pacific Islander Alone,17091,0,0
White Alone,17091,79675,64120
American Indian or Alaska Native and White,17091,255,205
Asian and White,17091,375,200
Black or African American and White,17091,785,320
American Indian or Alaska Native and Black or African American,17091,0,0
Remainder of Two or More Race Responses,17091,120,85
Hispanic or Latino,17091,11505,4915
Total,17093,126055,84610
Not Hispanic or Latino,17093,102485,72580
American Indian or Alaska Native Alone,17093,60,60
Asian Alone,17093,4015,2050
Black or African American Alone,17093,9095,6025
Native Hawaiian or Other Pacific Islander Alone,17093,0,0
White Alone,17093,87615,63740
American Indian or Alaska Native and White,17093,70,65
Asian and White,17093,730,270
Black or African American and White,17093,665,220
American Indian or Alaska Native and Black or African American,17093,25,25
Remainder of Two or More Race Responses,17093,210,130
Hispanic or Latino,17093,23570,12030
Total,17095,50510,39430
Not Hispanic or Latino,17095,47600,37850
American Indian or Alaska Native Alone,17095,85,70
Asian Alone,17095,555,225
Black or African American Alone,17095,4280,2895
Native Hawaiian or Other Pacific Islander Alone,17095,0,0
White Alone,17095,41895,34310
American Indian or Alaska Native and White,17095,175,175
Asian and White,17095,80,35
Black or African American and White,17095,420,95
American Indian or Alaska Native and Black or African American,17095,15,15
Remainder of Two or More Race Responses,17095,95,35
Hispanic or Latino,17095,2910,1575
Total,17097,701475,469635
Not Hispanic or Latino,17097,549330,408485
American Indian or Alaska Native Alone,17097,905,720
Asian Alone,17097,54385,26555
Black or African American Alone,17097,46525,33610
Native Hawaiian or Other Pacific Islander Alone,17097,210,110
White Alone,17097,433375,340755
American Indian or Alaska Native and White,17097,1520,1130
Asian and White,17097,5265,2170
Black or African American and White,17097,4840,1730
American Indian or Alaska Native and Black or African American,17097,405,360
Remainder of Two or More Race Responses,17097,1905,1345
Hispanic or Latino,17097,152140,61150
Total,17099,109735,84075
Not Hispanic or Latino,17099,99080,78815
American Indian or Alaska Native Alone,17099,75,75
Asian Alone,17099,780,305
Black or African American Alone,17099,2835,2280
Native Hawaiian or Other Pacific Islander Alone,17099,20,20
White Alone,17099,93800,75315
American Indian or Alaska Native and White,17099,430,310
Asian and White,17099,455,240
Black or African American and White,17099,585,200
American Indian or Alaska Native and Black or African American,17099,35,20
Remainder of Two or More Race Responses,17099,60,50
Hispanic or Latino,17099,10660,5260
Total,17101,16035,12920
Not Hispanic or Latino,17101,15420,12505
American Indian or Alaska Native Alone,17101,155,145
Asian Alone,17101,85,65
Black or African American Alone,17101,1325,1300
Native Hawaiian or Other Pacific Islander Alone,17101,0,0
White Alone,17101,13595,10745
American Indian or Alaska Native and White,17101,110,110
Asian and White,17101,0,0
Black or African American and White,17101,15,0
American Indian or Alaska Native and Black or African American,17101,15,15
Remainder of Two or More Race Responses,17101,125,125
Hispanic or Latino,17101,615,420
Total,17103,34390,27165
Not Hispanic or Latino,17103,32250,25895
American Indian or Alaska Native Alone,17103,90,90
Asian Alone,17103,195,90
Black or African American Alone,17103,1875,1635
Native Hawaiian or Other Pacific Islander Alone,17103,30,30
White Alone,17103,29695,23840
American Indian or Alaska Native and White,17103,65,50
Asian and White,17103,140,70
Black or African American and White,17103,130,65
American Indian or Alaska Native and Black or African American,17103,20,15
Remainder of Two or More Race Responses,17103,10,10
Hispanic or Latino,17103,2140,1270
Total,17105,36040,27825
Not Hispanic or Latino,17105,34395,27005
American Indian or Alaska Native Alone,17105,0,0
Asian Alone,17105,310,215
Black or African American Alone,17105,1490,1145
Native Hawaiian or Other Pacific Islander Alone,17105,0,0
White Alone,17105,32135,25315
American Indian or Alaska Native and White,17105,140,130
Asian and White,17105,65,35
Black or African American and White,17105,210,120
American Indian or Alaska Native and Black or African American,17105,15,15
Remainder of Two or More Race Responses,17105,30,30
Hispanic or Latino,17105,1645,820
Total,17107,29005,23160
Not Hispanic or Latino,17107,28020,22490
American Indian or Alaska Native Alone,17107,35,25
Asian Alone,17107,220,115
Black or African American Alone,17107,2010,1975
Native Hawaiian or Other Pacific Islander Alone,17107,4,4
White Alone,17107,25055,19980
American Indian or Alaska Native and White,17107,420,290
Asian and White,17107,85,40
Black or African American and White,17107,150,45
American Indian or Alaska Native and Black or African American,17107,10,10
Remainder of Two or More Race Responses,17107,35,10
Hispanic or Latino,17107,985,675
Total,17109,30480,24665
Not Hispanic or Latino,17109,29635,24070
American Indian or Alaska Native Alone,17109,30,30
Asian Alone,17109,655,335
Black or African American Alone,17109,1420,1155
Native Hawaiian or Other Pacific Islander Alone,17109,0,0
White Alone,17109,26800,22185
American Indian or Alaska Native and White,17109,135,85
Asian and White,17109,190,70
Black or African American and White,17109,365,190
American Indian or Alaska Native and Black or African American,17109,30,15
Remainder of Two or More Race Responses,17109,4,4
Hispanic or Latino,17109,845,595
Total,17111,307715,222200
Not Hispanic or Latino,17111,267450,204705
American Indian or Alaska Native Alone,17111,220,190
Asian Alone,17111,8585,5130
Black or African American Alone,17111,4235,2835
Native Hawaiian or Other Pacific Islander Alone,17111,10,0
White Alone,17111,249770,194550
American Indian or Alaska Native and White,17111,935,675
Asian and White,17111,1850,600
Black or African American and White,17111,1485,525
American Indian or Alaska Native and Black or African American,17111,45,45
Remainder of Two or More Race Responses,17111,310,150
Hispanic or Latino,17111,40265,17495
Total,17113,172580,128880
Not Hispanic or Latino,17113,164085,124345
American Indian or Alaska Native Alone,17113,285,215
Asian Alone,17113,8940,3160
Black or African American Alone,17113,14260,9740
Native Hawaiian or Other Pacific Islander Alone,17113,35,15
White Alone,17113,137385,109630
American Indian or Alaska Native and White,17113,375,295
Asian and White,17113,1210,635
Black or African American and White,17113,1250,475
American Indian or Alaska Native and Black or African American,17113,65,0
Remainder of Two or More Race Responses,17113,280,175
Hispanic or Latino,17113,8495,4530
Total,17115,105530,81120
Not Hispanic or Latino,17115,103125,79925
American Indian or Alaska Native Alone,17115,230,190
Asian Alone,17115,1070,535
Black or African American Alone,17115,15560,11260
Native Hawaiian or Other Pacific Islander Alone,17115,15,15
White Alone,17115,80600,65285
American Indian or Alaska Native and White,17115,1965,1240
Asian and White,17115,465,185
Black or African American and White,17115,2735,890
American Indian or Alaska Native and Black or African American,17115,390,275
Remainder of Two or More Race Responses,17115,95,45
Hispanic or Latino,17115,2405,1195
Total,17117,45465,35645
Not Hispanic or Latino,17117,44905,35320
American Indian or Alaska Native Alone,17117,80,65
Asian Alone,17117,220,95
Black or African American Alone,17117,435,375
Native Hawaiian or Other Pacific Islander Alone,17117,0,0
White Alone,17117,43700,34575
American Indian or Alaska Native and White,17117,220,170
Asian and White,17117,30,15
Black or African American and White,17117,165,20
American Indian or Alaska Native and Black or African American,17117,45,0
Remainder of Two or More Race Responses,17117,4,4
Hispanic or Latino,17117,560,325
Total,17119,264775,204035
Not Hispanic or Latino,17119,256150,199580
American Indian or Alaska Native Alone,17119,465,465
Asian Alone,17119,2750,1605
Black or African American Alone,17119,22605,16045
Native Hawaiian or Other Pacific Islander Alone,17119,25,10
White Alone,17119,225380,179575
American Indian or Alaska Native and White,17119,895,600
Asian and White,17119,725,200
Black or African American and White,17119,2620,665
American Indian or Alaska Native and Black or African American,17119,125,100
Remainder of Two or More Race Responses,17119,555,315
Hispanic or Latino,17119,8625,4455
Total,17121,37745,28880
Not Hispanic or Latino,17121,36980,28430
American Indian or Alaska Native Alone,17121,80,75
Asian Alone,17121,280,175
Black or African American Alone,17121,1380,1035
Native Hawaiian or Other Pacific Islander Alone,17121,0,0
White Alone,17121,34415,26840
American Indian or Alaska Native and White,17121,105,90
Asian and White,17121,40,30
Black or African American and White,17121,635,145
American Indian or Alaska Native and Black or African American,17121,0,0
Remainder of Two or More Race Responses,17121,45,35
Hispanic or Latino,17121,765,450
Total,17123,11680,9220
Not Hispanic or Latino,17123,11325,9005
American Indian or Alaska Native Alone,17123,4,4
Asian Alone,17123,45,30
Black or African American Alone,17123,30,30
Native Hawaiian or Other Pacific Islander Alone,17123,0,0
White Alone,17123,11055,8870
American Indian or Alaska Native and White,17123,15,15
Asian and White,17123,45,15
Black or African American and White,17123,25,0
American Indian or Alaska Native and Black or African American,17123,0,0
Remainder of Two or More Race Responses,17123,110,35
Hispanic or Latino,17123,350,215
Total,17125,13620,10790
Not Hispanic or Latino,17125,13470,10670
American Indian or Alaska Native Alone,17125,20,20
Asian Alone,17125,25,25
Black or African American Alone,17125,105,80
Native Hawaiian or Other Pacific Islander Alone,17125,0,0
White Alone,17125,13140,10445
American Indian or Alaska Native and White,17125,65,50
Asian and White,17125,20,20
Black or African American and White,17125,75,20
American Indian or Alaska Native and Black or African American,17125,0,0
Remainder of Two or More Race Responses,17125,20,15
Hispanic or Latino,17125,155,125
Total,17127,14220,10925
Not Hispanic or Latino,17127,13800,10740
American Indian or Alaska Native Alone,17127,4,4
Asian Alone,17127,30,10
Black or African American Alone,17127,830,630
Native Hawaiian or Other Pacific Islander Alone,17127,0,0
White Alone,17127,12550,9950
American Indian or Alaska Native and White,17127,100,45
Asian and White,17127,70,25
Black or African American and White,17127,195,60
American Indian or Alaska Native and Black or African American,17127,0,0
Remainder of Two or More Race Responses,17127,15,10
Hispanic or Latino,17127,420,185
Total,17129,12305,9585
Not Hispanic or Latino,17129,12120,9500
American Indian or Alaska Native Alone,17129,35,35
Asian Alone,17129,45,30
Black or African American Alone,17129,55,40
Native Hawaiian or Other Pacific Islander Alone,17129,0,0
White Alone,17129,11775,9250
American Indian or Alaska Native and White,17129,155,125
Asian and White,17129,30,20
Black or African American and White,17129,30,0
American Indian or Alaska Native and Black or African American,17129,0,0
Remainder of Two or More Race Responses,17129,0,0
Hispanic or Latino,17129,190,85
Total,17131,15590,12200
Not Hispanic or Latino,17131,15210,11970
American Indian or Alaska Native Alone,17131,15,10
Asian Alone,17131,55,35
Black or African American Alone,17131,100,85
Native Hawaiian or Other Pacific Islander Alone,17131,0,0
White Alone,17131,14860,11785
American Indian or Alaska Native and White,17131,55,35
Asian and White,17131,40,20
Black or African American and White,17131,80,0
American Indian or Alaska Native and Black or African American,17131,0,0
Remainder of Two or More Race Responses,17131,4,4
Hispanic or Latino,17131,380,230
Total,17133,34170,26330
Not Hispanic or Latino,17133,33645,25965
American Indian or Alaska Native Alone,17133,0,0
Asian Alone,17133,480,225
Black or African American Alone,17133,60,60
Native Hawaiian or Other Pacific Islander Alone,17133,0,0
White Alone,17133,32960,25600
American Indian or Alaska Native and White,17133,45,45
Asian and White,17133,75,30
Black or African American and White,17133,25,10
American Indian or Alaska Native and Black or African American,17133,0,0
Remainder of Two or More Race Responses,17133,0,0
Hispanic or Latino,17133,525,365
Total,17135,28830,22935
Not Hispanic or Latino,17135,28320,22600
American Indian or Alaska Native Alone,17135,50,50
Asian Alone,17135,100,60
Black or African American Alone,17135,1080,1040
Native Hawaiian or Other Pacific Islander Alone,17135,15,15
White Alone,17135,26885,21340
American Indian or Alaska Native and White,17135,65,55
Asian and White,17135,75,20
Black or African American and White,17135,50,20
American Indian or Alaska Native and Black or African American,17135,0,0
Remainder of Two or More Race Responses,17135,0,0
Hispanic or Latino,17135,510,335
Total,17137,34245,27435
Not Hispanic or Latino,17137,33400,26820
American Indian or Alaska Native Alone,17137,80,60
Asian Alone,17137,215,115
Black or African American Alone,17137,2350,1765
Native Hawaiian or Other Pacific Islander Alone,17137,4,0
White Alone,17137,30200,24645
American Indian or Alaska Native and White,17137,70,70
Asian and White,17137,75,20
Black or African American and White,17137,395,130
American Indian or Alaska Native and Black or African American,17137,4,4
Remainder of Two or More Race Responses,17137,10,10
Hispanic or Latino,17137,850,610
Total,17139,14640,10875
Not Hispanic or Latino,17139,14430,10815
American Indian or Alaska Native Alone,17139,60,55
Asian Alone,17139,25,15
Black or African American Alone,17139,110,100
Native Hawaiian or Other Pacific Islander Alone,17139,0,0
White Alone,17139,14145,10590
American Indian or Alaska Native and White,17139,10,10
Asian and White,17139,25,25
Black or African American and White,17139,55,20
American Indian or Alaska Native and Black or African American,17139,0,0
Remainder of Two or More Race Responses,17139,0,0
Hispanic or Latino,17139,210,60
Total,17141,51025,38140
Not Hispanic or Latino,17141,45860,36045
American Indian or Alaska Native Alone,17141,115,105
Asian Alone,17141,290,120
Black or African American Alone,17141,520,270
Native Hawaiian or Other Pacific Islander Alone,17141,10,4
White Alone,17141,44315,35175
American Indian or Alaska Native and White,17141,115,85
Asian and White,17141,115,75
Black or African American and White,17141,360,200
American Indian or Alaska Native and Black or African American,17141,4,4
Remainder of Two or More Race Responses,17141,20,15
Hispanic or Latino,17141,5165,2095
Total,17143,182770,134420
Not Hispanic or Latino,17143,173985,130305
American Indian or Alaska Native Alone,17143,465,305
Asian Alone,17143,7470,2570
Black or African American Alone,17143,32245,22020
Native Hawaiian or Other Pacific Islander Alone,17143,10,10
White Alone,17143,127940,103290
American Indian or Alaska Native and White,17143,310,300
Asian and White,17143,650,295
Black or African American and White,17143,4230,1180
American Indian or Alaska Native and Black or African American,17143,35,35
Remainder of Two or More Race Responses,17143,625,295
Hispanic or Latino,17143,8785,4110
Total,17145,21250,17085
Not Hispanic or Latino,17145,20590,16620
American Indian or Alaska Native Alone,17145,25,25
Asian Alone,17145,145,90
Black or African American Alone,17145,1925,1850
Native Hawaiian or Other Pacific Islander Alone,17145,0,0
White Alone,17145,18230,14560
American Indian or Alaska Native and White,17145,70,70
Asian and White,17145,4,4
Black or African American and White,17145,180,15
American Indian or Alaska Native and Black or African American,17145,4,4
Remainder of Two or More Race Responses,17145,4,4
Hispanic or Latino,17145,660,465
Total,17147,16400,12590
Not Hispanic or Latino,17147,16180,12475
American Indian or Alaska Native Alone,17147,10,10
Asian Alone,17147,90,15
Black or African American Alone,17147,90,55
Native Hawaiian or Other Pacific Islander Alone,17147,0,0
White Alone,17147,15810,12300
American Indian or Alaska Native and White,17147,135,95
Asian and White,17147,25,4
Black or African American and White,17147,20,4
American Indian or Alaska Native and Black or African American,17147,0,0
Remainder of Two or More Race Responses,17147,4,0
Hispanic or Latino,17147,220,115
Total,17149,15670,12075
Not Hispanic or Latino,17149,15470,11950
American Indian or Alaska Native Alone,17149,30,15
Asian Alone,17149,55,30
